[0.000000] (-) TimerEvent: {}
[0.807710] (rttest) StdoutLine: {'line': b'-- Found Python3: /usr/bin/python3.10 (found version "3.10.12") found components: Interpreter \n'}
[0.844564] (-) TimerEvent: {}
[0.946420] (-) TimerEvent: {}
[1.028685] (rttest) StdoutLine: {'line': b'-- Override CMake install command with custom implementation using symlinks instead of copying resources\n'}
[1.046736] (-) TimerEvent: {}
[1.149344] (-) TimerEvent: {}
[1.250357] (-) TimerEvent: {}
[1.350818] (-) TimerEvent: {}
[1.364671] (rttest) StdoutLine: {'line': b'-- Found ament_cmake_gtest: 2.0.4 (/home/lyc/ros2_iron/install/ament_cmake_gtest/share/ament_cmake_gtest/cmake)\n'}
[1.389818] (rttest) StdoutLine: {'line': b'-- Found ament_lint_auto: 0.14.3 (/home/lyc/ros2_iron/install/ament_lint_auto/share/ament_lint_auto/cmake)\n'}
[1.451558] (-) TimerEvent: {}
[1.555052] (-) TimerEvent: {}
[1.657645] (-) TimerEvent: {}
[1.762248] (-) TimerEvent: {}
[1.785018] (rttest) StdoutLine: {'line': b"-- Found gtest sources under '/home/lyc/ros2_iron/install/gtest_vendor/src/gtest_vendor': C++ tests using 'Google Test' will be built\n"}
[1.796367] (rttest) StdoutLine: {'line': b"-- Added test 'copyright' to check source files copyright and LICENSE\n"}
[1.800890] (rttest) StdoutLine: {'line': b"-- Added test 'cppcheck' to perform static code analysis on C / C++ code\n"}
[1.801148] (rttest) StdoutLine: {'line': b'-- Configured cppcheck include dirs: $<BUILD_INTERFACE:/home/lyc/ros2_iron/src/ros2/realtime_support/rttest/include>\n'}
[1.801199] (rttest) StdoutLine: {'line': b'-- Configured cppcheck exclude dirs and/or files: \n'}
[1.805791] (rttest) StdoutLine: {'line': b"-- Added test 'cpplint' to check C / C++ code against the Google style\n"}
[1.805993] (rttest) StdoutLine: {'line': b'-- Configured cpplint exclude dirs and/or files: \n'}
[1.811878] (rttest) StdoutLine: {'line': b"-- Added test 'flake8' to check Python code syntax and style conventions\n"}
[1.812091] (rttest) StdoutLine: {'line': b"-- Configured 'flake8' exclude dirs and/or files: \n"}
[1.818916] (rttest) StdoutLine: {'line': b"-- Added test 'lint_cmake' to check CMake code style\n"}
[1.824752] (rttest) StdoutLine: {'line': b"-- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257\n"}
[1.833255] (rttest) StdoutLine: {'line': b"-- Added test 'uncrustify' to check C / C++ code style\n"}
[1.833495] (rttest) StdoutLine: {'line': b'-- Configured uncrustify additional arguments: \n'}
[1.836914] (rttest) StdoutLine: {'line': b"-- Added test 'xmllint' to check XML markup files\n"}
[1.849815] (rttest) StdoutLine: {'line': b'-- Configuring done\n'}
[1.862705] (-) TimerEvent: {}
[1.863095] (rttest) StdoutLine: {'line': b'-- Generating done\n'}
[1.864474] (rttest) StdoutLine: {'line': b'-- Build files have been written to: /home/lyc/ros2_iron/src/ros2/build/rttest\n'}
[1.867664] (rttest) CommandEnded: {'returncode': 0}
[1.869202] (rttest) JobProgress: {'identifier': 'rttest', 'progress': 'build'}
